Sayfa,Dosya Yolu,Kategori Türü,Kategori Adı,Alt Kategoriler/İçerik,Açıklama
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,Emlak,"Konut, İş Yeri, Arsa, Devremülk, Turistik Tesis",Emlak kategorisi ve alt kategorileri
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,Vasıta,"Otomobil, Arazi SUV & Pickup, Motosiklet, Minivan & Panelvan, Ticari Araçlar, Kiralık Araçlar, Deniz Araçları, Hasarlı Araçlar, Klasik Araçlar, Elektrikli Araçlar",Araç kategorisi ve alt kategorileri
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,İkinci El ve Sıfır Alışveriş,"Bilgisayar, Ev Dekorasyon, Giyim & Aksesuar, Kişisel Bakım & Kozmetik, Kitap Dergi & Film, Takı Mücevher & Altın, Bahçe & Yapı Market, Yiyecek & İçecek, Cep Telefonu & Aksesuar, Ev Elektroniği, Elektronik, Saat, Hobi & Oyuncak",İkinci el alışveriş kategorisi ve alt kategorileri
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,Yedek Parça Aksesuar Donanım & Tuning,"Otomotiv Ekipmanları, Motosiklet Ekipmanları, Deniz Aracı Ekipmanları, Araç/Dorse, Lastik & Jant, Ses & Görüntü Sistemleri, Oto Teyp, Oto Hoparlör, Navigasyon, Yedek Parça, Tuning & Modifiye, Oto Aksesuar",Yedek parça ve aksesuar kategorisi
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,İş Makineleri & Sanayi,"İş Makineleri, Tarım Makineleri, Sanayi, Elektrik & Enerji",İş makineleri kategorisi
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,Ustalar ve Hizmetler,"Ev Tadilat & Dekorasyon, Nakliye, Araç Servis & Bakım, Özel Ders, Sağlık & Güzellik, Etkinlik & Organizasyon, İşletme & Reklam, Temizlik, Yazılım & Tasarım, Danışmanlık, Fotoğraf & Video, Düğün, Müzik & Sanat, Diğer Hizmetler",Hizmet kategorileri
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,Özel Ders Verenler,"Lise & Üniversite Hazırlık, Yabancı Dil, Bilgisayar, Direksiyon, Spor, Müzik, Güzel Sanatlar, Mesleki Dersler, Kişisel Gelişim",Özel ders kategorileri
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,İş İlanları,"Avukatlık & Hukuki Danışmanlık, Eğitim, Güzellik & Bakım, Sağlık, Turizm, Restoran & Konaklama, Güvenlik, Temizlik, Üretim & İmalathaneler, Muhasebe & Finans, Pazarlama & Reklam, Mühendislik, Yönetim, Mağaza & Market, Şoför & Kurye, Part Time & Ek İş, Stajyer, Diğer İş İlanları",İş ilanı kategorileri
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,Yardımcı Arayanlar,"Bebek & Çocuk Bakıcısı, Yaşlı Bakıcısı, Temizlikçi, Hasta Bakıcısı, Ev İşi Yardımı, Hayvan Bakıcısı, Diğer",Yardımcı arama kategorileri
Ana Sayfa,src/app/page.tsx,Ana Kategoriler,Hayvanlar Alemi,"Evcil Hayvanlar, Akvaryum Balıkları, Kuşlar, Küçükbaş Hayvanlar, Büyükbaş Hayvanlar, Sürüngenler, Yem & Mama, Aksesuarlar",Hayvan kategorileri
Ana Sayfa,src/app/page.tsx,Şehir Verileri,Şehirler,"İstanbul, Ankara, İzmir, Bursa, Antalya, Adana, Gaziantep, Konya, Kayseri, Mersin, Eskişehir, Diyarbakır, Samsun, Denizli, Şanlıurfa, Adapazarı, Malatya, Kahramanmaraş, Erzurum, Van, Batman, Elazığ, İzmit, Manisa, Sivas, Gebze, Balıkesir, Tarsus, Kütahya, Trabzon, Çorum, Çorlu, Adıyaman, Osmaniye, Kırıkkale, Antakya, Aydın, İskenderun, Uşak, Aksaray, Afyon, Isparta, İnegöl, Tekirdağ, Edirne, Darıca, Ordu, Karaman, Gölcük, Siirt, Körfez, Kızıltepe, Düzce, Tokat, Bolu, Derince, Nazilli, Zonguldak, Ceyhan, Karabük, Siverek, Akhisar, Lüleburgaz, Karadeniz Ereğli, Ataşehir, Ereğli, Muğla, Erzincan, Yakutiye, Pamukkale, Nevşehir, Elmalı, Turhal, Bandırma, Ergani, Soma, Silopi, Ödemiş, Mustafakemalpaşa, Bor, Didim, Atakum, Polatlı, Çan, Bafra, Kırşehir, Simav, Ayvalık, Merzifon, Suruç, Tavas, Havza, Gediz, Salihli, Polateli, Çerkezköy",Türkiye'deki 81 il ve ilçeler
Ana Sayfa,src/app/page.tsx,İlçe Verileri,İlçeler,"İstanbul: Adalar, Arnavutköy, Ataşehir, Avcılar, Bağcılar, Bahçelievler, Bakırköy, Başakşehir, Bayrampaşa, Beşiktaş, Beykoz, Beylikdüzü, Beyoğlu, Büyükçekmece, Çatalca, Çekmeköy, Esenler, Esenyurt, Eyüpsultan, Fatih, Gaziosmanpaşa, Güngören, Kadıköy, Kağıthane, Kartal, Küçükçekmece, Maltepe, Pendik, Sancaktepe, Sarıyer, Silivri, Sultanbeyli, Sultangazi, Şile, Şişli, Tuzla, Ümraniye, Üsküdar, Zeytinburnu (ve diğer 80 il için benzer ilçe listeleri)",Tüm iller için ilçe bilgileri
Arama Sayfası,src/app/listings/search/page.tsx,Araç Markaları,Otomobil Markaları,"Alfa Romeo, Audi, BMW, BYD, Cadillac, Chery, Chevrolet, Citroën, Cupra, Dacia, Fiat, Ford, Honda, Hyundai, Infiniti, Isuzu, Jaguar, Jeep, Kia, Lada, Land Rover, Lexus, Mazda, Mercedes-Benz, Mini, Mitsubishi, Nissan, Opel, Peugeot, Porsche, Renault, Seat, Škoda, Subaru, Suzuki, Tesla, Toyota, Volkswagen, Volvo",Araç markaları ve modelleri
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Cep Telefonu & Aksesuar,"Apple (iPhone 15 Pro Max, iPhone 15 Pro, iPhone 15 Plus, iPhone 15, iPhone 14 Pro Max, iPhone 14 Pro, iPhone 14 Plus, iPhone 14, iPhone 13 Pro Max, iPhone 13 Pro, iPhone 13, iPhone 12 Pro Max, iPhone 12 Pro, iPhone 12, iPhone 11 Pro Max, iPhone 11 Pro, iPhone 11, iPhone XS Max, iPhone XS, iPhone XR, iPhone X, iPhone 8 Plus, iPhone 8, iPhone 7 Plus, iPhone 7, iPhone SE), Samsung (Galaxy S24 Ultra, Galaxy S24+, Galaxy S24, Galaxy S23 Ultra, Galaxy S23+, Galaxy S23, Galaxy S22 Ultra, Galaxy S22+, Galaxy S22, Galaxy S21 Ultra, Galaxy S21+, Galaxy S21, Galaxy Note 20 Ultra, Galaxy Note 20, Galaxy A54, Galaxy A34, Galaxy A24, Galaxy A14, Galaxy Z Fold 5, Galaxy Z Flip 5, Galaxy Z Fold 4, Galaxy Z Flip 4), Xiaomi, Huawei, Oppo, Vivo, OnePlus, Google, Realme, Honor, Nothing, Motorola",Telefon markaları ve modelleri
Arama Sayfası,src/app/listings/search/page.tsx,İkinci El Markaları,Bilgisayar,"Apple (MacBook Air, MacBook Pro, iMac, Mac mini, Mac Studio, Mac Pro), Dell (XPS, Inspiron, Latitude, Precision, Alienware), HP (Pavilion, Envy, Spectre, EliteBook, ProBook, Omen), Lenovo (ThinkPad, IdeaPad, Legion, Yoga), Asus (ZenBook, VivoBook, ROG, TUF Gaming), Acer (Aspire, Swift, Predator, Nitro), MSI (Gaming, Creator, Modern, Summit), Razer (Blade, Book), Microsoft (Surface), Huawei (MateBook)",Bilgisayar markaları ve modelleri
